"Story","Title","Result","Date","Stability","Duration (s)"
"Entering deals feature","Without examples","SUCCESS","2020-08-09T13:48:00.7002969+05:30[Asia/Calcutta]","0.0","54.18"
"Entering deals feature","With examples","SUCCESS","2020-08-09T13:48:54.9160949+05:30[Asia/Calcutta]","0.0","20.28"
